+----------------------+------+--------+--------+-----------+
|      series id       | year | period | value  | footnotes |
+----------------------+------+--------+--------+-----------+
| LAUMT097195000000006 | 2009 |  M12   | 461230 |           |
| LAUMT097195000000006 | 2009 |  M11   | 464090 |           |
| LAUMT097195000000006 | 2009 |  M10   | 463639 |           |
| LAUMT097195000000006 | 2009 |  M09   | 462891 |           |
| LAUMT097195000000006 | 2009 |  M08   | 472865 |           |
| LAUMT097195000000006 | 2009 |  M07   | 476910 |           |
| LAUMT097195000000006 | 2009 |  M06   | 469446 |           |
| LAUMT097195000000006 | 2009 |  M05   | 462870 |           |
| LAUMT097195000000006 | 2009 |  M04   | 458123 |           |
| LAUMT097195000000006 | 2009 |  M03   | 459300 |           |
| LAUMT097195000000006 | 2009 |  M02   | 457088 |           |
| LAUMT097195000000006 | 2009 |  M01   | 459319 |           |
| LAUMT097195000000006 | 2008 |  M12   | 461904 |           |
| LAUMT097195000000006 | 2008 |  M11   | 463869 |           |
| LAUMT097195000000006 | 2008 |  M10   | 464404 |           |
| LAUMT097195000000006 | 2008 |  M09   | 461940 |           |
| LAUMT097195000000006 | 2008 |  M08   | 470474 |           |
| LAUMT097195000000006 | 2008 |  M07   | 475228 |           |
| LAUMT097195000000006 | 2008 |  M06   | 468580 |           |
| LAUMT097195000000006 | 2008 |  M05   | 462127 |           |
| LAUMT097195000000006 | 2008 |  M04   | 456469 |           |
| LAUMT097195000000006 | 2008 |  M03   | 457321 |           |
| LAUMT097195000000006 | 2008 |  M02   | 454745 |           |
| LAUMT097195000000006 | 2008 |  M01   | 456981 |           |
+----------------------+------+--------+--------+-----------+
